target,timestamp,crmse,rmse,ssim
pm1,00,3.711729389540033e-09,3.7135181708816804e-09,0.9803930588775857
pm2p5,00,6.510730263220834e-09,6.519646243546224e-09,0.9825192455307755
pm10,00,2.054454818799447e-08,2.0563976393543187e-08,0.9920001346937922
pm1,06,3.271872431685518e-09,3.274334189265077e-09,0.9865767798469054
pm2p5,06,5.200446817319842e-09,5.205158979684366e-09,0.9781126535254491
pm10,06,2.1815975963575073e-08,2.1823656593216984e-08,0.9912442970351093
pm1,12,3.161237431010047e-09,3.163901886822541e-09,0.9815917637322578
pm2p5,12,5.2377798651738215e-09,5.241826413537799e-09,0.9780237656290706
pm10,12,2.332415633259222e-08,2.333637210228298e-08,0.9929957854249785
pm1,18,2.991482320211254e-09,2.9972789687337064e-09,0.9850308470681499
pm2p5,18,6.2225582297580206e-09,6.228496749685371e-09,0.9873728818927552
pm10,18,2.5205019054011465e-08,2.5223431651920796e-08,0.9938712292769949
pm1,x,3.284080393111713e-09,3.287258303925751e-09,0.9833981123812247
pm2p5,x,5.7928787938681295e-09,5.798782096613439e-09,0.9815071366445125
pm10,x,2.2722424884543304e-08,2.273685918524099e-08,0.9925278616077187
