target,timestamp,crmse,rmse,ssim
pm1,00,3.6641679598510812e-09,3.6656788968862884e-09,0.9805556874986193
pm2p5,00,6.347368157762342e-09,6.361964914530924e-09,0.9771023454106585
pm10,00,2.648816668195333e-08,2.657022721189639e-08,0.9889736419315958
pm1,06,3.280591065204532e-09,3.292079928154582e-09,0.9853031458145751
pm2p5,06,5.54381513057187e-09,5.563164197055751e-09,0.9751643888943662
pm10,06,2.9992399507488984e-08,3.000941595397271e-08,0.9899873349887279
pm1,12,3.221412716174121e-09,3.2224601854440967e-09,0.9809767559326243
pm2p5,12,5.752324955198726e-09,5.766203798470566e-09,0.9753435358435933
pm10,12,3.261034987332437e-08,3.263567620693344e-08,0.9908276395204367
pm1,18,3.1843006995133528e-09,3.1916774092886116e-09,0.9841928086479985
pm2p5,18,7.174595543563608e-09,7.1916316702680095e-09,0.9842928983720745
pm10,18,3.3120511455731726e-08,3.315009547613699e-08,0.991178097687546
pm1,x,3.337618110185772e-09,3.342974104943395e-09,0.9827570994734542
pm2p5,x,6.2045259467741365e-09,6.220741145081312e-09,0.977975792130173
pm10,x,3.05528568796246e-08,3.059135371223488e-08,0.9902416785320765
