target,timestamp,crmse,rmse,ssim
pm1,12,3.379421e-09,3.3912235e-09,0.943362615260545
pm2p5,12,6.1576877e-09,7.093839e-09,0.8865394095200603
pm10,12,2.5956057e-08,2.671309e-08,0.9596204437639094
